,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
EU trade since 1988 by HS2-4-6 and CN8 [ds-045409__custom_22063068],,,,,
Open product page,Open in Data Browser,,,,
Description: ,-,,,,
,,,,,
Last update of data: ,,,15/06/2026 11:00,,
Last change of data structure: ,,,15/06/2026 11:00,,
,,,,,
,Institutional source(s),,,,
,,Eurostat,,,
,Contents,REPORTER,PARTNER,FLOW,INDICATORS
,#gid=1753535321,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Brazil,EXPORT,VALUE_IN_EUROS
,#gid=97216046,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Brazil,EXPORT,QUANTITY_IN_100KG
,#gid=1321452266,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",Brazil,EXPORT,SUPPLEMENTARY_QUANTITY
